Run (MB/s),Mersenne Twister,SPCG64,Xoroshiro 128+,Xorshift 128+
1,931.00946,3249.799316,5945.487183,5451.267517
2,930.006287,3269.29126,5884.362915,5395.316223
3,984.262085,3334.852783,5896.256287,5365.475342
4,936.375,3452.799072,5982.430664,5435.848267
5,951.467712,3315.817017,6130.506348,5510.953796
6,954.076599,3491.191406,6220.678955,5726.598694
7,957.606323,3225.476868,6204.789062,5375.190857
8,954.728821,3342.498901,5895.332642,5415.337463
9,942.391357,3393.841187,5954.108887,5322.405579
10,942.510376,3327.956238,6033.786255,5658.339233
11,928.93512,3399.985229,5791.426392,5498.264526
12,989.455017,3490.212769,6177.849609,5704.3125
13,940.565613,3389.725647,5984.345337,5714.571838
14,930.79657,3274.979431,6009.114563,5668.011047
15,988.246826,3474.653015,5891.078125,5377.585815
16,929.280273,3192.140564,5914.882996,5427.531189
17,991.51709,3491.116882,6194.134277,5478.790283
18,951.470093,3407.740295,6054.961609,5493.299133
19,966.530701,3444.171448,6196.638062,5659.304932
20,956.58551,3315.295288,6083.775879,5361.568848
21,973.688477,3426.87616,6222.848877,5643.237
22,979.031067,3349.275696,6159.759399,5543.011719
23,977.082886,3458.621155,5984.842651,5572.709961
24,929.589722,3332.113953,5952.837891,5378.247986
25,924.350525,3248.148926,5848.676147,5544.871704
26,989.089478,3465.130798,6219.327271,5710.329346
27,970.294067,3375.36145,6167.201538,5646.120667
28,941.981934,3376.690125,5852.434387,5463.066833
29,934.029114,3294.217651,5913.215515,5544.040894
30,950.301331,3306.736511,5887.069031,5578.411377
