Run (MB/s),Mersenne Twister,SPCG64,Xoroshiro 128+,Xorshift 128+
1,1138.708008,2572.702698,4567.363892,4731.486633
2,1157.99823,2555.664185,4546.236328,4684.356018
3,1136.065491,2527.562073,4587.040283,4646.192566
4,1130.497803,2539.59198,4467.442139,4702.589294
5,1134.556335,2510.355164,4507.571716,4631.020752
6,1116.756287,2493.323364,4443.950806,4630.789612
7,1132.134827,2528.755493,4495.761719,4724.910645
8,1113.178223,2504.975647,4457.88916,4704.958618
9,1135.389465,2605.616333,4357.266479,4560.579346
10,1118.757812,2521.534302,4433.464478,4547.20636
11,1140.304932,2534.085938,4468.135925,4545.018127
12,1099.162415,2490.793274,4390.46582,4595.853699
13,1131.588013,2546.253357,4480.667969,4688.044373
14,1141.956909,2482.127808,4329.150391,4556.058777
15,1109.386292,2534.848328,4435.958313,4452.685059
16,1124.168396,2455.174561,4436.204529,4436.63623
17,1132.830566,2540.899414,4452.063904,4620.963623
18,1102.288025,2516.859253,4339.917847,4517.226929
19,1099.933838,2473.957214,4463.854187,4476.978394
20,1105.625305,2496.127441,4419.331909,4451.212891
21,1120.140137,2522.188599,4293.607788,4532.019592
22,1106.929749,2498.614075,4273.880676,4583.743713
23,1143.449402,2498.620422,4479.825989,4559.562134
24,1117.211243,2545.860657,4459.196106,4587.811768
25,1118.737854,2518.933655,4417.799255,4424.82312
26,1100.284302,2496.516968,4457.223816,4432.171753
27,1108.757874,2502.291016,4291.173584,4543.222351
28,1099.724365,2490.722961,4319.134216,4545.970154
29,1135.829834,2520.873535,4264.085205,4449.269897
30,1117.767578,2343.542419,4386.068909,4582.248535
