Run (MB/s),Mersenne Twister,SPCG64,Xoroshiro 128+,Xorshift 128+
1,1656.387634,4169.429138,6002.016663,6032.637207
2,1665.225159,4205.593201,5993.519897,6040.093567
3,1669.049194,4182.876648,6039.226929,6054.053711
4,1670.133728,4210.574707,6081.071838,5920.830688
5,1662.348877,4174.894104,6053.350952,6054.653992
6,1644.450806,4053.473267,5842.896484,5947.38092
7,1672.251221,4250.755554,6101.113098,5843.826233
8,1680.246887,4187.239441,6146.356018,6107.424072
9,1682.873047,4229.77594,6168.51593,6104.326416
10,1679.638489,4239.310852,6146.233704,6111.790833
11,1680.625366,4232.821045,6147.353394,6122.67865
12,1684.493408,4241.108582,6176.11908,6126.42157
13,1682.358337,4245.6521,6153.432434,6020.816711
14,1684.381531,4127.431213,6152.649536,6123.609802
15,1688.823364,4261.157471,6179.374207,5889.683594
16,1684.2948,4249.432129,6038.976624,5784.377625
17,1685.463989,4239.290161,6127.739563,6082.286316
18,1689.827881,4250.390137,6122.626099,6050.373047
19,1605.693665,4220.237671,6116.747314,6102.277405
20,1685.462219,4205.343323,6109.358948,5708.57135
21,1686.973816,4219.000916,6096.008423,6079.301331
22,1683.270813,4254.610718,6143.270569,6113.592834
23,1693.056274,4222.375977,5979.105286,5872.308289
24,1695.488403,4203.279053,6198.882324,5932.005737
25,1596.405457,4149.79425,5892.203918,6037.704956
26,1650.229675,4130.04895,5807.964172,5546.303833
27,1662.232239,4258.501465,6194.323425,6138.950806
28,1682.501099,4270.156372,6101.532715,6156.078735
29,1682.260681,4231.939331,5999.941895,6063.052124
30,1680.106445,4247.326172,6180.179688,6108.930664
